StateCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MI,30466,30466,30466,30466,32575,37000,39260,40025,44727,47894,46178,51704,56579,62907,63034,67046,78770,89326,99335,105413,104134,114676,115166,127754,143678,153605,163458,169237,180621,190626,193103,197717,212057,226368,251484,256615,270320,299817.7,312688.1,338312.4,352152.4,349885.8,363660.8,374174.2,385621.1,400268.9,401869,409615.4,390420.9,368733.8,390043,404554.7,422691.2,437274.4,451773.2,474983.3,490264,502130.4,520245.1,532217,520105.3,572205.8
MN,10745,10745,10745,10745,11353,12480,13747,14616,16149,17681,18699,20035,21925,26001,27689,29683,32840,36830,41641,46861,50219,55404,57472,61950,71369,75832,79450,85365,91896,98313,102757,106102,114518,117947,128167,135124,145880,156351.4,166904.8,175759.3,191515,196006.1,203713.8,215721.8,231267.1,245380.5,252295.9,262063.1,267420.6,262088.9,274231.3,287039.3,298328.3,311126.4,324751.4,335530.2,344060.8,353664.9,372011.3,383956.6,376814.4,412458.6
MO,13613,13613,13613,13613,14454,15625,16843,17843,19711,21095,22230,24245,26414,29275,30468,33001,37211,41150,46176,50601,52420,57763,60699,65538,74539,77912,83330,88912,95760,101412,103566,109162,115288,118906,130567,140060,148257,163175.6,169483.4,177738,186650,190657.1,197557.7,205588.5,217084.2,227971.3,236386,244331.3,254045.8,253317.7,259816.1,262067.1,271535.1,280571,287507.5,296929.3,300914.5,308002.3,318153.5,332485.8,330249.9,358572
MS,4425,4425,4425,4425,4524,4925,5319,5652,6267,6801,7253,7923,9183,10557,11281,12292,14552,15957,17758,20011,21353,24023,24614,25967,28744,30138,30996,33531,35534,37208,38757,40862,44012,47340,51602,54984,57460,58352.7,60940.4,63879,65673.1,67174,69259.9,73961.9,77998,82448.5,87099.5,91191.4,94514.5,91792.2,93943.1,96218,100448.4,102371,104300.3,105914.6,107291.4,109600.8,112201.7,114234.4,115123.4,127307.7
MT,1974,1974,1974,1974,2024,2178,2349,2362,2531,2761,2919,3143,3661,4341,4661,5218,6032,6350,7443,8173,8925,10201,10206,10584,11010,10941,10979,11383,11703,12630,13242,13875,14937,16054,17062,17519,18119,19290.4,20429.1,20812.2,21876.7,22847.6,23942.1,25714.9,28160.5,30875.8,33166.1,36233.2,37224.9,36187.8,38336.1,40995.1,42340.9,43687.9,45177.2,46604.1,45490.9,48533.9,50916.9,51925.4,52355.8,58699.8
NC,12639,12639,12639,12639,13482,14544,15966,17155,18962,20882,22840,25035,28005,31755,33607,35998,40454,43822,49867,54515,58791,65869,68971,77543,88151,96535,104785,113262,124303,133866,139658,146367,159337,168006,181288,193467,203815,233934.9,246890.4,265375.7,278008.5,288069.5,297846.4,310388.9,329878.9,355469.7,387525,401490.9,418793.4,411155.8,420027.6,431722.7,445095.3,462268.9,483191.3,508928.7,526029.8,548522.1,567836.2,594521,598915.9,662120.8
ND,1624,1624,1624,1624,1591,1825,1846,1874,1958,2178,2294,2632,3078,4404,4506,4869,5052,5243,6417,7218,7645,9954,9954,10045,10642,10655,9773,10306,9748,10729,11509,11691,12896,13049,14304,14842,16491,15760.8,16816.6,17067.2,18100.1,18889.1,20194.7,22061.1,23259,24700,26500.7,29075.4,31874.4,32226,35676.2,41587.7,51832.6,54271,59926.3,55996.9,51989.2,55394.7,59248.7,59199.2,54422.9,63559.6
NE,4262,4262,4262,4262,4400,4749,5205,5486,5823,6537,6907,7660,8487,9961,10440,11875,13042,13874,15851,17423,18294,20863,21265,21820,24631,25717,26045,26760,29262,31332,33734,35613,38214,39353,43504,45111,49007,49819.2,51822.1,53685.2,56527.5,59607.2,61417.3,66402.1,70469.2,74564.5,78813.8,83834.8,85628,86870.4,91561.5,99921.1,102725.9,107260.7,111945.9,116514.6,118145.9,121726.6,127015.5,131866.9,134580.8,146285.4
NH,1651,1651,1651,1651,1812,1961,2169,2370,2596,2817,3050,3332,3626,4173,4470,4842,5511,6298,7389,8351,9263,10480,11407,12629,14767,16578,18369,20994,22937,23777,23768,24763,26332,27362,29190,31876,34561,38206.6,40554,41955.2,45342,46817.5,49059.9,51637.6,54918.2,56952.6,60017,61782.1,61700.2,62522.9,64843.6,66153.2,68498.1,70476.2,72995.2,76478,79090.1,80598,83869.8,87338.2,88337.7,99673.3
NJ,23388,23388,23388,23388,24774,26655,29027,30976,33657,35852,38492,41307,45388,49301,52987,56052,60496,65839,72918,81051,88334,98755,105759,117962,133572,145929,158836,174629,194709,205075,214357,221915,230774,240389,251573,263468,278191,307817.1,319861.3,336064.9,361005.4,373698,386132.5,400984.7,414848.6,435736.7,457593.1,474867.9,496227.2,482458.9,492762.4,495965.8,517195.9,534177.8,542842.8,563233.8,575501,587421,614106.5,637630.4,620085.9,682945.9
NM,3030,3030,3030,3030,3156,3311,3452,3514,3806,4091,4431,4822,5406,6189,7116,8098,9254,10102,11536,13141,15731,18511,19242,19882,21397,22534,21807,22429,23457,24927,26600,30295,32638,36876,41685,42146,44532,52475.6,50658.7,53017.3,55105,55789.7,57808.3,62651.1,69956.6,73911.4,77610.4,80799.8,84688.4,82461.5,84611.5,87062.8,87925.2,88756.9,92185.7,90274.3,89769.4,92273.6,97268,102027.5,98790,109582.8
NV,1819,1819,1819,1819,1933,2032,2131,2248,2549,2947,3262,3611,3990,4530,4966,5529,6263,7416,8932,10295,11633,13203,13885,15060,16514,17945,19731,21951,24987,27847,30980,32786,36052,40039,45173,49249,54419,60259.1,65114.2,71595.9,76833.1,80429.2,85008.7,90633.6,103231,116166.2,125848.3,131620.9,130609.5,122127.1,124669.4,127677.9,129312.9,132086.4,136008.7,145115.9,151840.4,160653.1,170257.6,182186.3,172562.6,194486.6
NY,70640,70640,70640,70640,75542,80347,86559,92078,99817,107031,112349,119145,127221,136396,145419,155256,163284,179890,200063,217725,235746,261840,282227,305288,339427,364281,390104,418306,456557,473252,493192,497336,519704,537504,555322,582656,620153,718814.3,745502.4,795230,841181.3,878346.5,890258.1,912474.6,967151.9,1016037.5,1075154.6,1119381.5,1116591,1160081.3,1223529.7,1247605.8,1328233.5,1365529,1430923.3,1487627.6,1551354.1,1604649.9,1697661.4,1787666,1740804.7,1901296.5
OH,33270,33270,33270,33270,35652,39071,42672,44420,48696,52817,53714,57975,62940,69836,74206,78141,87419,96995,107554,117117,121228,132782,134636,144897,163854,174165,182644,191784,205308,217817,227413,233975,250650,259612,281925,297538,311120,343430.3,361638.1,376465.2,392277.2,396944.5,411034.5,423780.2,446225.3,468891.6,482738.1,497761.5,496919.4,482281.1,500515.3,528189.9,545740.1,566532.4,595640.9,611019.5,623265.3,645636.8,667115.6,697166.8,684382.5,756617.2
OK,6151,6151,6151,6151,6544,6966,7468,8087,8836,9622,10369,11278,12738,14483,16204,18163,20822,24022,27105,31546,37608,45430,49317,47701,51291,52765,48997,49055,52667,55007,57805,59632,62209,65552,68251,70859,76316,79044.4,81196.9,84223.9,91093.9,97059.6,99479.2,105713.5,113873.8,125081.6,137436.5,145752.1,160763.7,146633,154287.4,166235.8,174874.4,182694.7,196631.6,186815.6,181244.4,190553,202712.5,204192.5,190063.6,215336.3
OR,5707,5707,5707,5707,6164,6725,7267,7639,8528,9353,9798,10864,12221,14180,15424,16823,19758,22047,25391,28372,30001,31590,31594,33727,37444,39446,41730,44594,49138,52610,56566,59441,63392,69409,75393,81554,93306,100914.8,105146.8,107621.5,117154.6,116963.6,120665.5,126671.5,135646.8,143507.8,153593.1,159585.2,164925.4,159607.3,164137.2,170630.9,174611,179527.7,188120.7,200659.6,211305.9,222601.6,237113.7,247233.1,247966.7,272190.9
PA,34533,34533,34533,34533,37375,40541,44082,46515,49957,54486,56670,60293,65390,71852,78201,84120,90743,99024,110054,120527,127181,138573,142077,152042,167390,176873,187386,202910,220582,233162,245281,255163,269849,281704,296602,312989,325001,356988,373748.5,390916.8,409159.9,427108.6,440971.7,460270.6,487306.1,511731.4,531274.1,565831.8,588024.6,582144.8,604736.8,624819.7,647925.9,668569.1,694142.6,714202.9,726561.9,746441,773977.4,799888.8,771613.2,844496.5
RI,2686,2686,2686,2686,2881,3157,3470,3631,3912,4113,4311,4599,5114,5418,5599,6002,6528,7245,7975,8845,9626,10729,11420,12323,13801,15222,16622,17891,19738,21059,21664,21738,22665,23566,24354,25550,26454,28928.8,30818.5,32267.2,34466.8,35862.8,37809.2,39638,42363.9,44374.1,47204.4,47340.8,47277.5,47702.2,49468.3,50206.1,51583,53034.1,54559.7,56390.8,57353.5,58085,59290.8,61642.8,60770.6,66570.9
SC,5057,5057,5057,5057,5544,6211,6941,7381,8170,8874,9556,10551,11897,13761,15312,16030,18177,20103,22976,25507,27607,31048,32353,35850,41203,43988,47748,52688,57329,61347,65157,68000,71848,76158,82062,87248,90755,97425,103456.3,110241.7,115320.6,119478.1,124863.9,131566.5,136982,145403.6,153647.7,162746.3,163886.2,161813.5,165860,172075.1,177618.1,185009.1,194352.7,205816.7,215120.2,223266.7,233251.4,245987.2,245359.5,269802.5
SD,1610,1610,1610,1610,1597,1763,1919,1960,2093,2273,2437,2656,3046,3958,3966,4400,4645,5116,5971,6716,6760,7661,7709,8123,9194,9588,10067,10669,11173,11790,12770,13736,14886,16105,17330,18054,19419,19031.4,20228.1,21078.7,22743.3,23412.1,26322.1,27216.1,29271.3,30997.4,32364.5,35073,36603,36432.9,37852.5,41892.1,43901.5,45361,46785.4,48070.2,49151.4,50232.5,52299.3,54001.3,55681.2,61684.7
TN,9055,9055,9055,9055,9758,10820,11980,12598,13974,15167,16100,17867,20326,23150,25106,26645,30549,33598,38182,42194,44972,50265,52045,57073,63983,68426,73288,80715,87356,91579,94087,101208,111660,119568,129895,137061,143163,154382.1,167394.6,176281.9,182247.2,186441.3,195764.3,205126.4,219327.9,231633.5,243583.9,248692.4,254242,252332.8,257776,269814.2,286341.5,295862.7,306153.1,325294,336413.9,350838.7,363055.5,380128.5,379007.1,427125.5
TX,29252,29252,29252,29252,31356,33858,36774,39907,44484,48575,52314,57344,64019,73840,85387,98804,113757,130404,149091,171608,203073,245235,260085,264883,288637,307224,295721,300667,327354,349952,378943,393574,416401,443775,475990,507725,551513,610157.3,645142.6,679870.3,738677,773375.5,789817.6,833342.3,913444.4,995252.4,1103197.6,1191093.1,1244294.9,1169607.7,1245959.4,1341334.4,1421180.1,1515195.6,1579299.5,1573498.4,1579014.9,1673234.3,1809396.7,1858757.8,1789933.4,2051768.6
UT,2998,2998,2998,2998,3078,3207,3409,3488,3724,4036,4448,4936,5604,6472,7348,8186,9300,10381,11998,13709,15311,17320,18365,19752,22147,24083,24282,25100,27325,28668,31249,33501,35602,38631,42591,46746,52016,57684,62296.1,66019.3,70295.9,73057.6,75796.9,78945.4,86081.9,95355.1,106537.3,114813.4,117178.9,113985.4,118669.8,125565,129512.5,135450.4,142150.1,149153.4,157827.3,168649.9,184457.5,196538.9,202133.4,225340.3
VA,11682,11682,11682,11682,12713,13666,14904,15925,17693,19638,21048,23157,26064,29450,32428,35067,39574,43219,48379,53398,58669,66179,71465,79439,89768,97967,107348,117603,128088,137661,144971,151093,158990,167688,177057,186236,197756,215101.7,231384,249801.1,268470.9,285635.9,295355.7,311665.7,332115.1,358069.7,376235.7,391699.8,404634.9,410967.4,426992.4,435180.3,445973.6,457640.5,465181.8,483786.5,496021.1,511114.9,532906.5,557764.4,556992.6,604957.6
VT,993,993,993,993,1090,1208,1435,1505,1628,1798,1980,2122,2294,2483,2577,2807,3222,3347,3942,4399,4856,5436,5755,6269,6895,7524,8169,9157,10259,11120,11674,11733,12538,13027,13689,13891,14672,15454.7,16080.7,17176.9,18341.1,19323.2,20273,21293.2,22938.2,23608.6,24331.5,24797.7,25999.3,26099.2,27406.6,28418.7,29241.3,29289.6,30099.4,30933.3,31661.2,32266.1,33066.8,34230.8,34018.6,37103.8
WA,11171,11171,11171,11171,11392,12330,14270,15659,17014,18091,18112,18761,20483,23342,26240,29282,32735,36826,42668,48713,52682,58918,62933,67949,74170,77341,84015,90325,99051,108064,118640,125895,134469,142500,150805,155069,166540,193825.9,209741.1,229797.9,237378.2,238418.6,245978.5,255370.2,268378.3,293676,314265.2,342024.2,354794.1,351245,365497.8,379574.9,400530.6,419092.4,440648,466689.7,487275.1,519409.6,564313.9,595231.8,612969.1,677489.5
WI,12742,12742,12742,12742,13719,14784,16133,16841,18226,19521,20193,22083,24064,27037,28694,32295,37033,40686,45423,50101,52899,57494,59488,63170,70013,73820,77824,82013,89620,95216,100236,104774,112972,120024,129437,135311,143444,153431.7,162609.3,172224.1,180427.3,188163.1,194658.8,203339.2,215537.1,227297,237569.3,245839.5,246814.5,247210,256432.9,266364.4,277107.1,284270.9,295696,307507.9,314073.3,318310.4,332498.6,345236.4,340591.1,368611.3
WV,4617,4617,4617,4617,4892,5208,5570,5825,6091,6381,7088,7602,8391,9187,10684,11973,13249,14439,15957,17424,18408,19837,20511,20403,22172,22936,22880,23425,25876,26663,27754,29092,30410,31881,34592,36149,37224,38777.5,40014.6,41714.3,42495.6,43973.3,45580.8,47039.9,49741.4,53492.5,57010,59273.5,62694.8,63600.7,65998.7,69234.1,70322.2,71481.5,72648.2,71318.5,70924.4,74820.1,79192.9,79325.6,76547.9,85434.2
WY,1353,1353,1353,1353,1405,1448,1509,1541,1671,1801,1943,2100,2356,2844,3470,3983,4722,5540,6689,8063,10428,12703,12422,11578,12152,12205,10522,10370,10991,11437,12705,12977,13179,13791,14070,14608,15752,14654.5,14840.2,15679.7,17152.5,18708.3,19165.6,21193.6,23429.4,27576.3,32740.3,36950.8,42819.3,36252,37680.7,39751.4,38855.4,39289.8,40310.6,38426.9,35879,36980.7,39171.7,39428,36330.4,41510.2
X3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US,607008,607008,607008,607008,650513,704697,767075,811782,887569,962902,1012299,1097173,1210292,1356500,1472024,1602228,1780497,1986408,2243230,2489416,2713933,3057318,3211370,3445372,3853668,4126664,4340813,4649020,5053003,5366080,5651747,5842665,6167644,6467698,6912844,7299372,7749965,8577552,9062817,9631172,10250952,10581929,10929108,11456450,12217196,13039197,13815583,14474228,14769862,14478067,15048970,15599731,16253970,16843196,17550687,18206023,18695106,19477337,20533058,21380976,21060474,23315081
